SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1307,Apple,AAPL,2014-12-18 23:59:59,112.65,110.66,111.87,112.65,58785590.0,0.0
1306,Apple,AAPL,2014-12-19 23:59:59,113.24,111.66,112.26,111.78,86595830.0,0.0
1305,Apple,AAPL,2014-12-22 23:59:59,113.49,111.97,112.16,112.94,45097060.0,0.0
1304,Apple,AAPL,2014-12-23 23:59:59,113.33,112.46,113.23,112.54,25991030.0,0.0
1303,Apple,AAPL,2014-12-24 23:59:59,112.71,112.01,112.58,112.01,14479610.0,0.0
1302,Apple,AAPL,2014-12-26 23:59:59,114.52,112.01,112.1,113.99,33681200.0,0.0
1301,Apple,AAPL,2014-12-29 23:59:59,114.77,113.7,113.79,113.91,27533430.0,0.0
1300,Apple,AAPL,2014-12-30 23:59:59,113.92,112.11,113.64,112.52,29798660.0,0.0
1299,Apple,AAPL,2014-12-31 23:59:59,113.13,110.21,112.82,110.38,41304780.0,0.0
1298,Apple,AAPL,2015-01-02 23:59:59,111.44,107.35,111.39,109.33,53143770.0,0.0
1297,Apple,AAPL,2015-01-05 23:59:59,108.65,105.41,108.29,106.25,64210880.0,0.0
1296,Apple,AAPL,2015-01-06 23:59:59,107.43,104.63,106.54,106.26,65682250.0,0.0
1295,Apple,AAPL,2015-01-07 23:59:59,108.2,106.695,107.2,107.75,39983350.0,0.0
1294,Apple,AAPL,2015-01-08 23:59:59,112.15,108.7,109.23,111.89,59168760.0,0.0
1293,Apple,AAPL,2015-01-09 23:59:59,113.25,110.21,112.67,112.01,53645730.0,0.0
1292,Apple,AAPL,2015-01-12 23:59:59,112.63,108.8,112.6,109.25,49571170.0,0.0
1291,Apple,AAPL,2015-01-13 23:59:59,112.8,108.91,111.43,110.22,66969980.0,0.0
1290,Apple,AAPL,2015-01-14 23:59:59,110.49,108.5,109.04,109.8,48728190.0,0.0
1289,Apple,AAPL,2015-01-15 23:59:59,110.06,106.66,110.0,106.82,59808470.0,0.0
1288,Apple,AAPL,2015-01-16 23:59:59,107.58,105.2,107.03,105.99,78453330.0,0.0
1287,Apple,AAPL,2015-01-20 23:59:59,108.9667,106.5,107.84,108.72,49742320.0,0.0
1286,Apple,AAPL,2015-01-21 23:59:59,111.06,108.27,108.95,109.55,48482860.0,0.0
1285,Apple,AAPL,2015-01-22 23:59:59,112.47,109.72,110.26,112.4,53717440.0,0.0
1284,Apple,AAPL,2015-01-23 23:59:59,113.75,111.53,112.3,112.98,46420020.0,0.0
1283,Apple,AAPL,2015-01-26 23:59:59,114.3626,112.8,113.74,113.1,55457420.0,0.0
1282,Apple,AAPL,2015-01-27 23:59:59,112.48,109.03,112.42,109.14,92326640.0,0.0
1281,Apple,AAPL,2015-01-28 23:59:59,118.12,115.31,117.625,115.31,146184300.0,0.0
1280,Apple,AAPL,2015-01-29 23:59:59,119.19,115.56,116.32,118.9,84132130.0,0.0
1279,Apple,AAPL,2015-01-30 23:59:59,120.0,116.85,118.4,117.16,83646800.0,0.0
1278,Apple,AAPL,2015-02-02 23:59:59,119.17,116.08,118.05,118.63,62542440.0,0.0
1277,Apple,AAPL,2015-02-03 23:59:59,119.09,117.61,118.5,118.65,51842080.0,0.0
1276,Apple,AAPL,2015-02-04 23:59:59,120.51,118.309,118.5,119.56,69975180.0,0.0
1275,Apple,AAPL,2015-02-05 23:59:59,120.23,119.25,120.02,119.94,42197110.0,0.0
1274,Apple,AAPL,2015-02-06 23:59:59,120.25,118.45,120.02,118.93,43633660.0,0.0
1273,Apple,AAPL,2015-02-09 23:59:59,119.84,118.43,118.55,119.72,37900780.0,0.0
1272,Apple,AAPL,2015-02-10 23:59:59,122.15,120.16,120.17,122.02,61845390.0,0.0
1271,Apple,AAPL,2015-02-11 23:59:59,124.92,122.5,122.77,124.88,73278020.0,0.0
1270,Apple,AAPL,2015-02-12 23:59:59,127.48,125.57,126.06,126.46,74374630.0,0.0
1269,Apple,AAPL,2015-02-13 23:59:59,127.28,125.65,127.28,127.08,53955650.0,0.0
1268,Apple,AAPL,2015-02-17 23:59:59,128.88,126.92,127.49,127.83,63014110.0,0.0
1267,Apple,AAPL,2015-02-18 23:59:59,128.78,127.45,127.625,128.715,44695980.0,0.0
1266,Apple,AAPL,2015-02-19 23:59:59,129.03,128.33,128.48,128.45,37295460.0,0.0
1265,Apple,AAPL,2015-02-20 23:59:59,129.5,128.05,128.62,129.495,48878410.0,0.0
1264,Apple,AAPL,2015-02-23 23:59:59,133.0,129.66,130.02,133.0,73089250.0,0.0
1263,Apple,AAPL,2015-02-24 23:59:59,133.6,131.17,132.94,132.17,69109410.0,0.0
1262,Apple,AAPL,2015-02-25 23:59:59,131.6,128.15,131.56,128.79,74555120.0,0.0
1261,Apple,AAPL,2015-02-26 23:59:59,130.87,126.61,128.785,130.415,91171830.0,0.0
